Date,Product Name,Quantity
2022-08-21,Food Fairy Mini Feta & Coriander Samosas x 8,4
2022-08-23,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-08-26,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-08-29,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-08-30,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-08-31,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-09-01,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-09-02,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-09-03,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-09-04,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-09-07,Food Fairy Mini Feta & Coriander Samosas x 8,5
2022-09-09,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-09-12,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-09-13,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-09-14,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-09-15,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-09-19,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-09-20,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-09-22,Food Fairy Mini Feta & Coriander Samosas x 8,5
2022-09-23,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-09-26,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-09-27,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-09-29,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-10-05,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-10-06,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-10-07,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-10-10,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-10-13,Food Fairy Mini Feta & Coriander Samosas x 8,5
2022-10-14,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-10-17,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-10-19,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-10-20,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-10-24,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-10-25,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-10-27,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-10-28,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-10-31,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-11-02,Food Fairy Mini Feta & Coriander Samosas x 8,5
2022-11-03,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-11-04,Food Fairy Mini Feta & Coriander Samosas x 8,5
2022-11-06,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-11-08,Food Fairy Mini Feta & Coriander Samosas x 8,2
