Date,Product Name,Quantity
2020-09-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-09-29,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-10-01,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-10-07,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-10-08,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-10-09,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-10-10,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-10-13,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-10-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2020-10-16,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),6
2020-10-19,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-10-26,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-10-27,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-10-30,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-10-31,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-11-04,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-11-05,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2020-11-06,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-11-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),9
2020-11-16,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-11-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-11-20,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-11-23,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-11-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-11-26,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),7
2020-11-27,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-12-01,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-12-28,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),9
